Verb,VerbMeaning,A1,A1Sem,A2,A2Sem,A3,A3Sem,A4,A4Sem,A5,A5Sem,Meaning
выражать,4.1,NO_Nom,человек,NO_Acc,связь-взаимодействие,NO_Ins,формула,-,-,-,-,А1 выразил А2 через А3 ‘Человек А1 установил и сделал доступными для восприятия в виде формулы А3 внутреннюю связь или взаимодействие А2 между разными явлениями или свойствами какого-то объекта’.
выражать,4.1,NO_Nom,человек,NO_Acc,связь-взаимодействие,через_Acc,формула,-,-,-,-,А1 выразил А2 через А3 ‘Человек А1 установил и сделал доступными для восприятия в виде формулы А3 внутреннюю связь или взаимодействие А2 между разными явлениями или свойствами какого-то объекта’.
выражать,4.2,NO_Nom,человек,NO_Acc,параметр,в_Loc,единица измерения,-,-,-,-,А1 выразил А2 в A3 ‘Человек А1 измерил значе ние параметра А2 в единицах А3’.
выражать,4.2,NO_Nom,человек,NO_Acc,параметр,NO_Ins,единица измерения,-,-,-,-,А1 выразил А2 в A3 ‘Человек А1 измерил значе ние параметра А2 в единицах А3’.
выражать,4.2,NO_Nom,человек,NO_Acc,параметр,с помощью_Gen,единица измерения,-,-,-,-,А1 выразил А2 в A3 ‘Человек А1 измерил значе ние параметра А2 в единицах А3’.
закрывать,1,NO_Nom,непрозрачный объект,NO_Acc,объект,NO_Dat,наблюдатель,-,-,-,-,"А1 закрывает А2 от А3 ‘Непрозрачный объект А1 или его часть располагается между объектом А2 и наблюдателем А3 так, что А3 полностью или частично не видит А2’."
закрывать,1,NO_Nom,непрозрачный объект,NO_Acc,объект,от_Gen,наблюдатель,-,-,-,-,"А1 закрывает А2 от А3 ‘Непрозрачный объект А1 или его часть располагается между объектом А2 и наблюдателем А3 так, что А3 полностью или частично не видит А2’."
закрывать,2.1,NO_Nom,объект,NO_Acc,объект,от_Gen,негативный фактор,-,-,-,-,"А1 закрывает А2 от А3 ‘Объект А1 располага ется по отношению к объекту А2 таким образом, что препят ствует воздействию, обычно негативному, фактора А3 на А2 или его часть’"
закрывать,2.2,NO_Nom,человек,NO_Acc,объект,NO_Ins,объект,от_Gen,негативный фактор,-,-,"А1 закрывает А2 от А4 при помощи А3 ‘Человек А1 располагает объект А3 по отношению к объекту А2 таким образом, чтобы А3 препятствовал воздействию, обычно негативному, фактора А4 на А2 или его часть’."
закрывать,3.1,NO_Nom,лицо,NO_Acc,путь,-,-,-,-,-,-,"А1 закрывает А2 ‘Лицо А1 ставит преграду на пути А2, чтобы по этому пути нельзя было перемещаться’."
закрывать,3.2,NO_Nom,человек,NO_Acc,приспособление,-,-,-,-,-,-,А1 закрывает А2 ‘Человек А1 при помощи приспособления А2 ставит преграду на пути потока жидкости или газа и этим прекращает их перемещение’.
закрывать,4.1,NO_Nom,человек,NO_Acc,дверь,в_Acc,помещение-территория,на_Acc,ключ,-,-,"А1 закрывает А2 в А3 на А4 ‘Человек А1 распо лагает дверь или аналогичное приспособление А2 так, чтобы в помещение или на территорию А3 не было доступа, а также, возможно, делает А2 неподвижным с помощью А4 с той же целью’."
